id,item_num,key_field,qty,name,category,serial_no,turnover_ytd,turnover_ltd,repair_cost_ytd,sell_price,current_store,inactive,pos_store_code,rfid_rental_class_num
66249,64754.0,,0,"GLOVES, PREMIUM LEATHER PALM","Sales, Equip. Related",,0.0,0.0,0.0,5.95,2.0,0,,
66251,64757.0,,0,"GLOVES, STRING W/ PVC DOTS, LRG","Sales, Equip. Related",,0.0,0.0,0.0,3.95,2.0,0,,
66253,64760.0,,0,"GLOVES, ECONOMY GREY, LRG","Sales, Equip. Related",,0.0,0.0,0.0,1.95,2.0,0,,
66255,64763.0,,0,"RATCHET STRAP, 27' HEAVY-DUTY","Sales, Equip. Related",,0.0,20.0,0.0,22.95,2.0,0,,
66256,64765.0,,0,"4 PACK, 15' RATCHET STRAPS","Sales, Equip. Related",,0.0,0.0,0.0,29.95,0.0,0,,
66257,64766.0,,0,"4 PACK, 15' RATCHET STRAPS","Sales, Equip. Related",,0.0,4.0,0.0,29.95,2.0,0,,
66258,73138.0,,0,BMR KIT,Parts - Internal Repair/Maint Order,,1.0,1.0,0.0,77.12,2.0,0,,
66259,64768.0,,0,"EQUIPMENT SOLD ""AS IS""",Miscellaneous Tool,,0.0,0.0,0.0,0.0,0.0,0,,
66260,64769.0,,0,"EQUIPMENT SOLD ""AS IS""",Miscellaneous Tool,,0.0,0.0,0.0,0.0,2.0,0,,
66261,64771.0,,0,FREIGHT AND SHIPPING CHARGES,Miscellaneous Party,,0.0,0.0,0.0,0.0,0.0,0,,
66262,64772.0,,0,FREIGHT AND SHIPPING CHARGES,Miscellaneous Tool,,0.0,1.0,0.0,0.0,2.0,0,,
66263,65950.0,,0,"NUT 1/2""",Parts - Internal Repair/Maint Order,,0.0,7.0,0.0,3.1,2.0,0,,
66264,5272.0,,0,Flanged bolt,Parts - Outside/Customer Repair,,0.0,0.0,0.0,0.0,1.0,0,,
66265,73210.0,,0,BRAKE ROTOR,Parts - Internal Repair/Maint Order,,2.0,2.0,0.0,47.5,2.0,0,,
66266,70925.0,,0,SPARK PLUG / ZFR5F,Parts - Internal Repair/Maint Order,,2.0,4.0,0.0,4.16,2.0,0,,
66267,72579.0,,0,SPARK PLUG - ZGR5A,Parts - Internal Repair/Maint Order,,2.0,2.0,0.0,3.82,2.0,0,,
66268,71052.0,,0,TORO Temperature Switch,Parts - Internal Repair/Maint Order,,0.0,0.0,0.0,99.94,4.0,0,,
66269,72232.0,,0,TAB-HANDLE,Parts - Outside/Customer Repair,,1.0,1.0,0.0,3.38,2.0,0,,
66270,4397.0,,0,Bolt,Parts - Internal Repair/Maint Order,,0.0,5.0,0.0,0.0,1.0,0,,
66271,72702.0,,0,champion spark plug,Parts - Outside/Customer Repair,,3.0,3.0,0.0,5.88,4.0,0,,
66272,4389.0,,0,Chain-Roller,Parts - Internal Repair/Maint Order,,0.0,1.0,0.0,0.0,1.0,0,,
66273,4390.0,,0,Link-Conneting,Parts - Internal Repair/Maint Order,,0.0,1.0,0.0,0.0,1.0,0,,
66276,64775.0,,0,(OFFICE) LAMINATOR,PARTY SHOP USE,,0.0,0.0,0.0,0.0,3.0,0,,
66278,64777.0,,0,"(OFFICE) CUTTER, VINYL 24""",Miscellaneous Tool,,0.0,0.0,0.0,0.0,2.0,0,,
66280,64779.0,,0,(OFFICE) VACUUM CLEANER,PARTY SHOP USE,,0.0,0.0,0.0,0.0,3.0,0,,
66281,64780.0,,0,"(OFFICE) ENTRY RUG, 5' X 8' GREEN",PARTY SHOP USE,,0.0,0.0,0.0,0.0,3.0,0,,
66282,64781.0,,0,(VEHICLE) BATTERY CHARGER BOOSTER,PARTY SHOP USE,,0.0,0.0,0.0,0.0,3.0,0,,
66285,5355.0,,0,BELT STOP,Parts - Internal Repair/Maint Order,,0.0,1.0,0.0,0.0,1.0,0,,
66286,71640.0,,0,BELT STOP,Parts - Internal Repair/Maint Order,,0.0,1.0,0.0,0.0,2.0,0,,
66287,73025.0,,0,CENTER-LOK DRIVE PAD,Parts - Internal Repair/Maint Order,,1.0,1.0,0.0,47.32,2.0,0,,
66288,67172.0,,0,HANDLE-UPPER,Parts - Outside/Customer Repair,,0.0,0.0,0.0,63.99,2.0,0,,
66289,5105.0,,0,O-RING,Parts - Internal Repair/Maint Order,,0.0,2.0,0.0,0.0,1.0,0,,
66290,5365.0,,0,"BEARING, BALL",Parts - Internal Repair/Maint Order,,0.0,1.0,0.0,0.0,1.0,0,,
66291,4743.0,,0,"Gasket, Muffler",Parts - Internal Repair/Maint Order,,0.0,1.0,0.0,0.0,1.0,0,,
